recipe_id,category_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,1
16,2
17,3
18,4
19,5
20,6
21,7
22,8
23,9
24,10
25,11
26,12
27,13
28,14
29,1
30,2
31,3
32,4
33,1
34,2
35,3
36,4
37,5
38,6
39,7
40,8
41,9
42,10
43,11
44,12
45,13
46,14
47,1
48,2
49,3
50,1
51,2
52,3
53,4
54,5
55,6
56,7
57,8
58,9
59,10
60,11
61,12
62,13
63,14
64,1
65,2
66,3
67,4
68,5
69,6
70,7
71,8
72,9
73,10
74,1
75,2
76,3
77,4
78,5
79,6
80,7
81,8
82,9
83,10
84,11
85,12
86,13
87,14
88,1
89,2
90,3
91,4
92,5
93,6
94,7
95,8
96,9
97,10
98,11
99,12
100,13
101,14
102,1
103,2
104,3
105,4
106,5
107,6
108,7
109,8
110,9
111,10
112,11
113,12
114,13
115,14
116,1
117,2
118,3
119,4
120,5
121,6
122,7
123,8
124,9
125,10
126,1
127,2
128,3
129,4
130,5
131,6
132,7
133,8
134,9
135,10
136,11
137,12
138,13
139,14
140,1
141,2
142,1
143,2
144,3
145,4
146,5
147,6
148,7
149,8
150,9
151,10
152,11
153,12
154,13
155,14
156,9
157,10
158,11
159,12
160,13
161,14
162,1
163,2
164,3
165,1
166,2
167,3
168,4
169,5
170,6
171,7
172,8
173,9
174,10
175,11
176,12
177,13
178,14
179,1
180,2
181,3
182,4
183,5
184,6
185,7
186,8
187,1
188,2
189,3
190,4
191,5
192,6
193,7
194,8
195,9
196,10
197,11
198,12
199,13
200,14
